PSO-NN - Swarm Size Data

SS010
Epoch,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 10,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 26,Run 27,Run 29,Run 30,Mean
2,0.9764,0.9979,0.8453,1.0409,1.0318,0.8824,1.0929,1.0849,1.0221,0.9838,0.925,0.8959,0.9766,1.0333,0.924,0.9759,1.0001,0.9599,0.768,0.9725,0.991,1.0488,0.9704,0.973904347826087
3,0.9764,0.9979,0.8453,0.9562,0.9999,0.8824,1.0929,0.9537,1.0221,0.9838,0.8552,0.869,0.9766,0.9101,0.8259,0.9158,0.9802,0.9465,0.768,0.9725,0.991,0.9307,0.9395,0.9387652173913044
4,0.9199,0.9544,0.8453,0.9413,0.9688,0.8353,1.0922,0.9497,1.0221,0.9838,0.7497,0.8421,0.9609,0.905,0.8242,0.897,0.8622,0.9166,0.768,0.9725,0.9727,0.8741,0.8678,0.9098086956521739
5,0.9199,0.9265,0.8261,0.9081,0.9339,0.7955,1.0084,0.9097,0.932,0.9433,0.7464,0.7709,0.887,0.8418,0.7842,0.8574,0.8622,0.856,0.768,0.9286,0.9482,0.8049,0.8052,0.8680086956521739
6,0.8968,0.8743,0.7746,0.8615,0.8747,0.7578,0.9266,0.8552,0.8205,0.896,0.6987,0.7489,0.843,0.8127,0.733,0.7949,0.8622,0.8355,0.768,0.9286,0.9265,0.8015,0.753,0.8280217391304349
7,0.8798,0.8743,0.7746,0.8211,0.8417,0.7168,0.8931,0.8323,0.8015,0.8538,0.6987,0.7435,0.8125,0.8076,0.7133,0.7611,0.8437,0.8065,0.768,0.8584,0.8903,0.7459,0.6883,0.8011652173913043
8,0.811,0.8743,0.7644,0.7989,0.8372,0.6474,0.8608,0.8051,0.7763,0.803,0.6987,0.7284,0.7666,0.8076,0.7096,0.7326,0.8437,0.7922,0.768,0.8584,0.8779,0.7256,0.686,0.7814652173913044
9,0.7619,0.8743,0.7552,0.779,0.8153,0.6474,0.8162,0.7859,0.7763,0.803,0.6744,0.709,0.7321,0.7842,0.66,0.6707,0.8277,0.7884,0.768,0.842,0.8482,0.6969,0.6641,0.7600086956521739
10,0.7552,0.8691,0.7298,0.733,0.8065,0.6474,0.8029,0.7724,0.7639,0.7989,0.6723,0.7058,0.7138,0.7804,0.66,0.6468,0.7633,0.7635,0.7674,0.827,0.83,0.6954,0.6399,0.7454217391304347
11,0.7257,0.8247,0.7216,0.6828,0.7864,0.6474,0.7918,0.7544,0.7529,0.7465,0.6551,0.6714,0.6906,0.7707,0.66,0.5943,0.7633,0.7451,0.7568,0.7758,0.811,0.69,0.6333,0.7239826086956521
12,0.7137,0.8041,0.7216,0.6793,0.773,0.6474,0.7641,0.7373,0.7099,0.7127,0.6471,0.6714,0.6825,0.7657,0.6533,0.5799,0.7633,0.7277,0.7452,0.7703,0.7996,0.6453,0.625,0.710408695652174
13,0.6847,0.7807,0.7017,0.6612,0.7505,0.6406,0.7409,0.7046,0.6678,0.6988,0.6259,0.6608,0.6565,0.7527,0.6533,0.5776,0.7633,0.7042,0.7346,0.7616,0.7996,0.6376,0.616,0.6945739130434783
14,0.6615,0.7624,0.6962,0.6457,0.7442,0.6364,0.7332,0.7046,0.6678,0.6869,0.6228,0.6445,0.6414,0.7275,0.6533,0.5724,0.748,0.6907,0.7294,0.7402,0.7879,0.6263,0.6043,0.683808695652174
